"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level"
"1",1,"WM",9656,2793,30258,15726,34.2,49.4,21.5,7.4,29.2,46.3,23.2,7,9.9,47.9,54.5,67.9,24.6,0.289250207125104,"Remain",69.8,17.7,56.6,45.8,12.8
"2",2,"L",6022,905,14489,5647,42.2,39.1,19.4,7.1,46.9,28.9,9.1,10.1,16.3,19,78.9,81.2,46.8,0.150282298239787,"Remain",42.7,27.3,55.1,20.2,29.2
"6",6,"EE",2550,1138,5069,2148,48.6,93.1,81.5,31.8,4.8,12,3,2.2,2.8,41.3,2.1,44.1,12.9,0.446274509803922,"Remain",34.8,46,7.5,34.9,13.7
"8",8,"WM",15148,7519,24125,10198,52.4,89.3,84.8,35.8,5.8,8.4,3,3,4.2,49.9,17.2,47.9,16.7,0.496369157644574,"Remain",29,49.6,15.4,37.8,16.9
"11",11,"EE",5279,2587,9547,3779,45.6,79.7,67.7,20,16.8,13.7,4.8,3.3,4.4,41.8,19.1,50.8,18.6,0.490054934646713,"Remain",39.1,36.4,20.6,32,16.7
"12",12,"NW",3150,1499,6780,2442,45,43.5,68.9,38.3,15.5,13.8,5.7,5.5,9.4,17.8,21.9,71.4,37.2,0.475873015873016,"Remain",38.1,31.9,106.2,15.2,34.2
"13",13,"L",3961,1648,11184,3487,44.4,26.6,60.9,25.9,12.1,24.8,8.4,4.9,7,26.4,89.5,69.6,32.4,0.416056551375915,"Remain",42.6,36.3,118.3,27.6,23.4
"16",16,"L",6471,1288,16854,7158,39.6,37.9,15.7,4.3,58.9,22.9,9.6,8.7,11.9,36.1,143,70.9,34.2,0.199041879153145,"Remain",50.6,25.3,57.5,36.8,17.6
"18",18,"L",7401,3375,16638,7870,43,51.3,38.9,15.4,14.7,43.1,5.3,5.5,7.3,48.7,45.3,59,22.8,0.456019456830158,"Remain",50.5,30.2,62.6,45.9,12.3
"24",24,"L",3916,1565,12321,4618,44.6,47.4,52.7,19.2,11.7,31.4,7.5,4.2,6,45.3,35.3,54.1,21.4,0.399642492339122,"Remain",41.8,33.1,69.8,41.8,13.3
"27",27,"SE",6596,2830,16729,6397,35.9,83.8,43.3,16.2,4.3,51.2,36.9,3.3,5.3,40,166.6,49.5,19.5,0.429047907822923,"Remain",62.2,24.3,17.2,26,11.6
"31",31,"L",6212,1496,11601,5546,40.8,74.7,27.3,12.2,41.8,29.3,6.2,5.3,7,57,137,59,25.7,0.240824211204121,"Remain",55.9,29,22.2,54.4,15.5
"38",38,"NW",2084,948,2230,1081,51,96.8,63.7,29.8,15.5,19.4,2.5,2.5,3.4,40.2,27.3,53.1,22.7,0.45489443378119,"Remain",32,50.3,3.8,36.2,18.7
"40",40,"NW",6172,2888,11264,5304,48.1,87.3,61.3,22,18.7,18.3,4,4.3,6.1,36.9,43.4,58.8,29.4,0.467919637070642,"Remain",37.7,44,11.9,30.7,24.8
"41",41,"L",6177,3041,13561,5567,46.6,76,49.3,18.2,37,12.5,5.2,5.8,8.6,33.5,42.3,63.3,30.4,0.492310182936701,"Remain",38.1,37.4,23,29.6,25.5
"42",42,"L",6106,2766,18024,6928,42.3,39.4,30.6,8.6,41.1,24.2,8.6,8.8,14.4,19.8,59.1,79.8,44.2,0.452997052079921,"Remain",41.6,27.3,55.5,19.5,30.5
"45",45,"EE",4344,905,8665,3745,44.4,88.1,58.1,27.5,9.7,30.6,11.9,3.2,4.3,61.1,58.3,46.7,14.9,0.208333333333333,"Remain",46.7,36.9,12,63.2,8.1
"54",54,"NW",3962,1900,14012,4376,41.8,34,56.2,27.6,26.3,14.3,7,7.8,14.1,12,52.7,79,44.7,0.479555779909137,"Remain",40.6,24.7,114.7,11.1,41.2
"60",60,"L",7411,1653,14418,6277,40.1,57.1,20.8,7.4,44.9,32.3,10,6.6,9.4,41.6,161.4,71,36.7,0.223046822291189,"Remain",53.9,25.8,37.5,41.8,20.6
"62",62,"L",6578,1083,11680,5277,43.4,81.1,51.9,23.8,10,36.2,6,3.1,3.9,65.6,47.9,46.9,13.9,0.164639708117969,"Remain",50.9,32.2,16.9,65.7,6.4
"66",66,"NW",8159,3727,14291,6619,49.7,96.6,76.4,30.9,4.4,18,3.2,4,5.8,38.1,45.7,53.5,22.3,0.456796176001961,"Remain",34.5,47.2,3.9,30.3,19.4
"68",68,"L",5182,1254,9314,4034,42,81.9,60.9,22.6,3.8,34.2,3.9,2.5,3,64.7,83,36.9,11.4,0.241991509069857,"Remain",54.2,28,20.1,60.7,7.8
"69",69,"L",4716,1398,13428,5224,41.8,52.2,32,13.8,35,30.2,9.7,7,10.3,28.2,98.5,73.5,38.6,0.296437659033079,"Remain",48.8,29,43.9,30.6,23.9
"74",74,"Y",8280,3370,15547,6995,47.8,84,69,26.7,8.6,20.6,3.4,4.1,5.6,42.1,25.6,54.7,22.6,0.407004830917874,"Remain",38.9,41.4,24,36.9,19
"75",75,"L",5693,1378,12665,5930,42.7,73.6,34.5,18.6,32.5,31.1,9.4,4.4,6.2,56.3,111.4,61.8,25.4,0.24205164236782,"Remain",49.9,33,24.3,53.9,11.7
"77",77,"L",6679,3162,14409,5015,44.3,51,60.8,20.7,8.3,29.2,6.1,4.9,6.7,30.1,43.7,63.7,27.8,0.473424165294206,"Remain",43.5,33.5,57.1,30.2,17.8
"84",84,"SE",3496,1445,4207,1664,53,97.6,86.4,37.2,4.6,8.1,2,1.5,2.1,45.3,3.4,43,11.7,0.413329519450801,"Remain",27.2,53.1,2.3,37.8,17.7
"85",85,"EE",4196,816,7900,1718,34.3,80.4,56.7,37.1,7.8,32.4,59.6,0.9,2.7,73,18.2,40.4,7.8,0.194470924690181,"Remain",67.7,21.6,20.7,55.3,1.7
"86",86,"EE",2593,1087,4701,1885,52,97.3,75.1,32,12.7,8.8,2.2,2.1,2.9,47.8,0.5,43.7,14.1,0.419205553413035,"Remain",26.6,51.7,2.7,39.5,16.6
"91",91,"L",5721,1591,11871,5579,41.1,74.4,31.8,12.8,41.9,23.9,7.8,5.2,7.1,55.9,150.4,58.5,27.6,0.278098234574375,"Remain",54.1,29.3,22.6,53,17.3
"92",92,"EE",1475,592,2176,866,51.9,97.6,80.1,35.4,12.6,5.9,2.3,1.8,2.6,51.5,1.5,41.1,11.8,0.40135593220339,"Remain",25.4,51.9,2.9,43.2,14.9
"94",94,"L",4487,2169,11219,3414,46.1,27.4,76.1,31.1,3.3,18.3,8.2,4.3,6,35,65.2,59.1,21.7,0.483396478716291,"Remain",39,40.4,121,34.1,17.9
"95",95,"L",5873,2906,13495,3630,42.7,6.3,56.3,25.5,13.3,27.1,11.8,6.1,9.6,17.4,85.3,81.4,46.1,0.494806742720926,"Remain",45.1,30.9,151.3,21.9,23.8
"101",101,"NW",8548,4021,15834,6673,50.9,97.6,78.5,30.7,10.9,9.5,3.3,3.7,5.3,37.2,16.8,55.2,24.1,0.470402433317735,"Remain",30.8,47.4,2.5,27.7,20.6
"102",102,"EE",4796,1909,7546,3060,51.4,86.8,69,32.6,20.1,9.6,3.9,3.2,4.6,48.2,16.8,48.5,16.6,0.398040033361134,"Remain",29.4,48.5,16.8,40.2,15.8
"103",103,"L",7910,3944,14355,5609,49,69.1,71.3,27.3,20.6,6.9,4.6,4.6,6.5,37.1,52.6,56.8,21.5,0.498609355246523,"Remain",32,44.3,34,27.1,19.1
"105",105,"L",5506,1668,11538,5307,39.1,70.7,28.1,11.3,43.7,26.1,19.3,4.3,6.4,54.8,126.6,60.4,26.5,0.302942244823829,"Remain",58.6,27.7,28.1,47.9,15.1
"106",106,"EE",5061,1149,9290,3873,38.7,84.4,44,16.2,13.4,41.1,18.3,2.2,2.9,56.6,64.1,45.6,17.4,0.227030231179609,"Remain",61.1,24.9,15.7,55,10.7
"107",107,"EE",2728,1155,8588,2813,42.2,40.2,55.2,20.7,15.5,26.7,7.3,7.1,10.9,20.5,48,67.7,32.6,0.423387096774194,"Remain",43.5,26.4,87.1,19.5,28.7
"111",111,"NW",7651,3582,13008,5653,49.9,91.6,80.1,29.2,8.5,10.3,3.3,3.3,4.6,40.5,39.3,53.6,21.5,0.468174094889557,"Remain",33.2,46.3,10.2,30.8,18.9
"112",112,"L",5012,1512,16034,5578,40.7,58.8,28.4,10.8,28.3,40.2,9,6.3,9.2,28.4,127.3,72.4,36.5,0.301675977653631,"Remain",46.2,24.5,34.5,29,24.4
"113",113,"L",7696,2378,14109,6235,40,69.4,36.7,10.7,30.3,31,10,4.5,5.9,52.6,42.3,56.4,23.8,0.308991683991684,"Remain",56.4,25.3,32,49.5,15
"118",118,"L",8747,4032,12472,4995,41.2,41.5,41.9,16.1,11,44.6,9,4.8,6.5,45.2,73.2,59.5,22.9,0.460958042757517,"Remain",53.7,27.7,83.6,46,11.7
"119",119,"EE",3079,1232,6437,2593,51.5,95.7,76.4,31.7,15.3,6.9,2.7,2.9,4,51,2.6,44.6,13.7,0.400129912309191,"Remain",28.6,47.1,4.2,43.7,13
"121",121,"EE",4979,2370,11109,5221,45.3,85.4,43.7,15.8,3.3,51.3,6.1,7,9.6,33.3,69.4,64.4,30,0.475999196625828,"Remain",47,36.8,15.2,26.2,22
"122",122,"EM",5782,1829,21503,7699,31.1,60.4,22.7,9.6,19.9,55.9,51,4.2,8.8,37.1,91.2,60.1,24.2,0.316326530612245,"Remain",73.3,16.2,49.3,28,11
"123",123,"L",6695,2449,13844,5175,46.5,66.8,65.8,27.9,10.7,22.4,7.2,4.3,6.1,44.4,54.3,54.9,22.4,0.365795369678865,"Remain",39.6,39.9,36.4,40,16.3
"124",124,"L",10662,4997,15958,6409,50.1,84,81.6,29.9,7.5,9.7,3.3,3.1,4.3,46.3,31.5,47.7,17.4,0.468673794785219,"Remain",31.4,45.8,16.3,33.8,17.1
"127",127,"L",7446,1761,16596,7119,38.9,66.7,32.1,9.8,37.3,27.7,14.5,4.9,6.7,54.7,67.1,54.3,21.8,0.236502820306205,"Remain",57.3,23.5,32.4,49.9,12.8
"130",130,"EE",3596,1634,7816,3266,46.3,86.7,72.8,27.1,7.2,18.9,6.5,3.6,4.7,41.8,20.6,45,15.2,0.454393770856507,"Remain",38.6,38.7,15.6,34.3,15.1
"131",131,"NW",1616,682,3988,1782,51.5,97.8,53.7,34.1,23.2,19.8,3.7,1.9,2.5,32.2,0.4,53.8,16.1,0.422029702970297,"Remain",33.4,52.9,2.4,34.4,15.6
"141",141,"L",4240,1853,11170,3683,46.5,34.5,72.1,26.5,2.3,24.5,7,3.8,5.4,41.6,74.9,55.9,20.6,0.437028301886792,"Remain",38,38.6,93.3,37.9,13.7
"142",142,"EE",2985,1302,7239,2872,46.9,85.5,68.1,30.8,6.5,23.3,15.4,3.4,5.1,43.1,36.5,52.9,18.7,0.436180904522613,"Remain",39.4,42.3,17.1,33,15.4
"144",144,"L",4458,1938,10316,4046,40.8,53.2,45.8,11.6,21.9,30.8,7,5.5,7.3,32,89.7,63.1,25.5,0.434724091520861,"Remain",50.3,27.2,51,32.6,18.1
"146",146,"L",5903,1423,13530,5964,43.6,79.2,57.5,22.1,9.2,31.8,5.8,3.4,4.4,61.7,96.8,44.4,16.6,0.241063865830933,"Remain",47.7,33.6,20.6,57.8,9
"147",147,"L",5851,1548,11591,5128,45.4,80.9,59.3,22.9,15.2,24.4,4.4,3,3.9,60.2,61.8,42.7,16.1,0.264570158947188,"Remain",42.3,37,19,56,9.2
"151",151,"EE",1820,749,2707,1116,52.7,97.4,75.1,32.9,10.3,12.9,1.4,2.3,3.2,50.9,0.7,43.3,13.5,0.411538461538462,"Remain",24.8,52.7,2.2,43.8,15
"153",153,"WM",6918,3440,10722,4494,54.4,95.2,86,40.5,4.4,8.6,2.3,1.9,2.8,55.6,6.6,42.1,13.2,0.497253541485979,"Remain",24.6,55.4,6,44.5,13.9
"154",154,"L",5516,2504,15729,5704,42.1,45.4,45.8,15,24.4,26.7,10.6,7.2,11.3,21.3,45.5,74.6,37.6,0.453952139231327,"Remain",42.6,28.8,49.3,21,26.9
"163",163,"L",4863,1485,13077,6139,40.4,60.2,21.8,9.4,45.3,30.4,17,4.8,7.3,50.1,111.6,67,28.3,0.305367057371993,"Remain",55.6,30.2,38.2,46.2,12.9
"168",168,"NW",8213,3201,13457,5832,56.1,97.4,90.6,44.8,1.4,7.3,2.7,2.3,3.5,56.5,11.5,43.1,12.3,0.389747960550347,"Remain",22.5,58.9,3.1,47.4,12.5
"169",169,"L",9011,4089,13610,5814,42.9,65.8,41.5,12.8,29.3,24.7,5.6,4.4,5.9,43,51.3,58.1,24.5,0.453778714904006,"Remain",47.5,31.1,38.1,38.9,16.4
"172",172,"WM",8849,2850,32420,9783,38.8,13.3,44.7,21.1,35.8,15.7,19.4,10.2,19,13.4,69.6,81.3,45.8,0.322070290428297,"Remain",46.7,21.4,116.4,15.3,33.2
"176",176,"SE",3673,1568,6363,2827,50.4,96.4,67.8,28.6,17.1,13.1,2.3,2.1,2.8,36.3,6.8,49,17.2,0.426898992649061,"Remain",33.4,46.2,3.6,30.9,20.9
"177",177,"L",5418,1812,14665,5242,39.3,46.8,41.6,14.8,8,49.4,10.6,5.7,7.6,32.2,167.6,64,28,0.334440753045404,"Remain",55.5,23.6,62.9,34.8,15.7
"183",183,"L",5384,1689,10757,4447,39.7,59.9,46.4,14.6,12.9,39.2,9.2,3.8,4.9,44.4,99.3,56.9,20.6,0.313707280832095,"Remain",58.7,25.5,47.4,43.1,13.3
"185",185,"L",6259,1388,12971,5854,40.1,65.5,26.3,7.5,48.1,23.7,8.2,5.6,7.7,49.8,161.1,61.7,30.5,0.221760664642914,"Remain",54.2,25.9,29.3,48.8,17.4
"188",188,"L",6395,2706,10416,3698,45.7,44.2,65.6,23.3,9.4,23.2,6.7,4.4,6.1,43,70.2,54.9,22.4,0.423143080531665,"Remain",40.4,36.5,77.6,40.7,13.4
"189",189,"L",9024,2594,13573,5278,43.8,76.8,66.3,25.2,5.2,27.5,7.6,3.3,4.3,56.4,90.7,44.4,15.4,0.287455673758865,"Remain",46.9,32.9,25.5,54.8,8.7
"191",191,"L",4765,1996,10066,3661,44.5,41.8,65.8,18.8,10.2,21.9,7.6,5.7,7.9,29.9,69.7,62.3,26.4,0.418887722980063,"Remain",40.8,34.3,68.5,27.5,19.1
"198",198,"L",6432,1418,12452,5445,41.3,71.9,34.8,12.4,36.5,26.7,8.8,5.3,7.4,49.2,151,60.7,29,0.220460199004975,"Remain",51.9,29.9,24.9,48.3,16.5
"200",200,"L",7512,3111,14445,5763,43.5,63.8,41.3,12.4,40.8,16.7,8.1,5.8,8.2,38.8,72.8,60.5,29,0.414137380191693,"Remain",44.9,31,37.5,37.2,20.8
"201",201,"L",7036,1289,15908,6816,38.8,58.5,30.9,8.8,31.8,34.7,7.1,5.7,7.2,48.2,144.5,59.3,24.9,0.183200682205799,"Remain",59.1,23.6,38.3,49.6,13.8
"202",202,"L",5321,2460,15403,5338,43.9,45.4,59.9,21.8,7.8,30.3,6.1,4.8,6.6,29.8,47,65.4,28.1,0.462319112948694,"Remain",44.1,33.5,62.9,30.8,17.4
"205",205,"L",6122,1175,14543,5490,41.4,44.1,33.1,11.6,26.8,36.9,9.9,7.1,10.5,25.5,160.1,72.6,37.6,0.191930741587716,"Remain",47.4,27.4,51.4,27.6,22.5
"208",208,"WM",8870,3821,30443,10343,41.1,20.6,44.8,21.3,27.4,24.5,10.3,10.2,17.1,16,64.6,75.7,40.9,0.430777903043968,"Remain",45.4,25.2,109,17.4,32.1
"209",209,"EE",3095,1461,5842,2521,46.9,84,54.5,20.1,32.5,11.9,3,4.8,6.4,37.7,20.8,54.2,23.3,0.47205169628433,"Remain",38.5,39,21.8,30,19.3
"210",210,"L",5044,1503,12088,5782,42.8,59.9,21.7,8.6,43.5,32.6,7.7,6.1,8.7,45.4,180.8,71.3,36.5,0.297977795400476,"Remain",50.2,30.9,33.9,43.8,17.4
"214",214,"L",5790,1328,11001,4808,47.4,79.8,49.6,26.5,31.9,16.2,5.6,4.4,6.2,57.6,34.8,53.3,23,0.229360967184801,"Remain",38.6,41.5,17.2,55.8,12.6
"217",217,"L",7634,2589,16587,7756,43.9,47.7,48.8,13.9,21.1,28,6.5,7.3,9.9,38.4,71.5,61.9,27.6,0.339140686402934,"Remain",43.2,33.3,53.2,35,15.9
"219",219,"L",6823,2888,11768,4490,50.5,80.3,89.7,35.3,2.2,7.1,3.5,2.7,3.8,43.4,18.8,46.7,12.9,0.423274219551517,"Remain",29.8,51,24.4,32,15.2
"220",220,"SE",6633,3176,13648,6086,45.6,87.7,53.5,21.9,5.5,39.5,9.9,3.8,5.4,42.8,61.8,50.2,18.8,0.478818031056837,"Remain",41.9,38.7,12.2,35.3,16.8
"222",222,"L",5317,1296,13327,5494,38.9,65.5,37.8,14.8,14.2,46,10.2,5.4,7.2,43.2,87.5,65,29.3,0.243746473575324,"Remain",59.9,23.9,31.3,46.6,14
"224",224,"EM",3330,1383,9993,2181,30.5,67.4,41.5,18.2,26.1,29.7,63.9,2.4,7.4,32.3,35.6,62.2,29.2,0.415315315315315,"Remain",73.3,17.1,39.3,21.9,11.2
"225",225,"L",7561,3691,14788,4935,40.9,27.4,46.7,15.5,17.1,33.3,10.3,5.2,7.3,29.1,54.5,71.3,32.7,0.488162941409866,"Remain",48.4,26.3,111,34.6,15.7
"226",226,"WM",6937,3352,11837,5002,52,82.8,76.9,34.9,8.8,12,2.9,3.4,4.8,48.9,26.4,50.6,19.7,0.4832059968286,"Remain",31.6,48.4,26.3,38.4,18.9
"228",228,"L",7668,3168,14668,5720,47.5,68.4,73.3,25.7,6.8,17.5,4.5,3.5,4.8,49.2,36,47.5,15.1,0.413145539906103,"Remain",37.2,41,37.3,40.5,12.9
"229",229,"WM",7460,3380,11186,4405,52.2,95.2,89.1,36.7,3.1,7.2,2.9,2.1,2.9,56.4,7.9,39.8,12,0.453083109919571,"Remain",26,49.8,6.5,44.8,12.3
"234",234,"EE",4236,1122,6914,2736,46,87.7,74.3,29.1,6.4,17.7,3.6,2.3,3,63.8,44.4,35.6,10.6,0.264872521246459,"Remain",38.1,37.3,13.5,62.5,7
"235",235,"NW",4570,2238,13256,4296,42,27,50.7,16,35,11.9,7,9.4,17.6,11.6,59.8,82.5,50.9,0.489715536105033,"Remain",40.9,23.8,77,10,42.7
"240",240,"SE",7063,2847,17545,5917,37.4,86.2,32.4,12,36.2,29.5,32.5,3.8,6.5,24,30.9,66.9,33.3,0.403086507149936,"Remain",54.5,26,13.2,17.4,21.9
"241",241,"L",5934,2936,12490,4033,43.3,23.8,49.2,17.9,28.1,20.4,8.5,6,9.2,23.3,33.5,75.5,37.4,0.494775867880013,"Remain",42.4,31.7,114.5,24.4,21.8
"245",245,"EE",5315,1397,9425,3804,42.5,79.3,47.7,19.1,21.1,29.6,16.3,2.4,3.4,49.2,50,54.9,19.8,0.262841015992474,"Remain",49.4,32.3,21.2,43.9,15
"247",247,"NW",7826,3614,12454,5330,50.9,94.5,84.6,31.8,3.3,10.7,3.4,2.8,3.9,41.3,30.3,49.2,17.8,0.461794019933555,"Remain",30.9,48.3,6.2,32.3,17.1
"251",251,"L",5939,2800,12370,4021,42.8,22.6,56.9,20.7,14.1,27.2,8.8,5,7.2,30.4,63.3,67,29,0.471459841724196,"Remain",45.5,31.6,117.5,33.4,16.1
"253",253,"EM",7804,2905,14802,6120,50.7,73.4,79.6,35.3,7.5,12.1,5.5,3.4,4.9,46.6,27.4,49.6,19.1,0.372245002562788,"Remain",32.1,46.3,38.7,39.3,18.2
"254",254,"EE",2625,1200,4057,1635,52.9,95.9,81.2,36,6.9,10.8,2.7,2.6,3.7,49.5,1.1,40.9,12.9,0.457142857142857,"Remain",25.2,52.5,4,41.6,13.8
"263",263,"EE",4686,1956,7910,3330,47.1,82.3,69,22.8,17.3,12.4,3.5,4.2,5.5,42.2,23,48.4,18.6,0.41741357234315,"Remain",38.3,39.9,21.5,34.8,17.9
"265",265,"L",4993,1568,14935,6036,43.4,56.5,32.8,12.8,31.8,31.3,7.5,5.8,8.1,40.3,89.1,65.8,32.4,0.314039655517725,"Remain",46.2,31.6,40.7,39.4,16.2
"266",266,"SE",3366,1238,7030,3038,51,94,70,28.3,11.2,16.8,2.4,3.2,4.2,51.6,17.9,44.3,15.4,0.367795603089721,"Remain",32.9,47.4,5.6,43.4,13.8
"268",268,"L",5034,1984,14243,5229,40.4,36.5,32.9,11.8,33.4,31.4,10.7,7.4,10.9,24.9,71.8,73.3,35.8,0.394119984108065,"Remain",47.9,25.6,74.5,28.5,21.1
"271",271,"EE",4355,1627,6524,2624,49.9,90,80.3,32.2,9.4,9.3,3.9,2.7,3.6,50.5,34.3,45.8,15.7,0.373593570608496,"Remain",31.5,45.4,11.7,40.7,13.3
"272",272,"NW",7970,3963,15639,6920,48.5,97.1,67.1,25,6.8,25.2,3.6,6.4,9.6,25.2,73,64.8,31.9,0.49723964868256,"Remain",34.4,43.8,2.9,18.5,27
"273",273,"SE",3773,1806,5881,2014,49.1,94.8,81.5,29.7,3.3,9.7,4.4,2,2.9,51.3,11.6,37.8,10.9,0.478664192949907,"Remain",28.7,40.4,5.5,35.2,13.1
